"Identifier"	"English Label"	"French label"
"export"	"Export as %{type}"	"Exporter en %{type}"
"settings"	"Settings"	"Paramètres"
"danger_zone"	"Danger zone"	"Zone de danger"
"clear"	"Clear"	"Vider"
"clear_publish"	"Clear published"	"Vider les données publiées"
"clear_dataset"	"Clear database"	"Vider la base de données"
"sign_out"	"Sign out"	"Se déconnecter"
"back_to_list"	"Back to list"	"Retourner à  la liste"
"not_found"	"Resource not found"	"Ressource non trouvée"
"powered"	"Powered by"	"Propulsé par"
"loading_resource"	"Resource loading..."	"Ressource en cours de chargement..."
"error_label_required"	"Label is required"	"L'étiquette est requise"
"error_cover_required"	"Coverage is required"	"La couverture est requise"
"error_scheme_invalid"	"The scheme must be an url"	"Le schéma doit être un url"
"error_position_invalid"	"This position is invalid (must be greater than zero)"	"La position n'est pas valide (elle doit être supérieure à zéro)"
"error_position_required"	"The position is required"	"La position est requise"
"error_position_uri_must_come_first"	"The URI field must come first"	"Le champ URI doit être en premier"
"error_transformers_contributions_no_transformers"	"An operation cannot be added to a contribution"	"Une opération ne peut pas être ajoutée à une contribution"
"error_composedOf_contribution_no_composed_of"	"A contribution cannot have a composedOf attribute"	"Une contribution ne peut comporter un attribut de champ composé"
"error_composedOf.separator_required"	"A ComposedOf separator is required"	"Un séparateur de champ composé est requis"
"error_composedOf.separator_invalid"	"A ComposedOf separator must be a string"	"Un séparateur de champ composé doit être une chaîne de caractères"
"error_composedOf.fields_required"	"ComposedOf must have at least two fields"	"Un champ composé doit avoir au moins deux champs"
"error_composedOf.fields_invalid"	"ComposedOf fields must exist"	"Les champs du champ composé doivent exister"
"error_completes_inexisting_target_field"	"A completed field must exist"	"Un champ annoté doit exister"
"error_label_invalid_label"	"A label must be at least 2 characters long"	"Une étiquette doit comporter au moins deux caractères"
"error_cover_invalid_contribution_cover"	"A contribution must have a cover document"	"Une contribution doit comporter un document de couverture"
"error_cover_invalid_cover"	"A coverage must be either a dataset or a collection"	"Une couverture doit être soit un jeu de données, soit une collection"
"error_language_invalid"	"Language is invalid"	"Langue invalide"
"error_transformer.operation_invalid"	"Operation %{operation} does not exist"	"L'opération %{operation} n'existe pas"
"error_transformer.args_invalid"	"Operation %{operation} is invalid : it requires %{args} args"	"L'opération %{operation} est invalide : arguments %{args} requis"
"remove_resource"	"Remove the resource"	"Retirer la ressource"
"enter_reason"	"Enter your reason for removing"	"Donner en quelques mots une explication"
"reason"	"Reason"	"La raison"
"removed_resource_at"	"This resource was removed %{date}"	"Cette ressource a été retirée - %{date}"
"cancel"	"Cancel"	"Annuler"
"listen_up"	"Warning! This is a potentially destructive action: you're going to lose all contributions and modifications since publication."	"Attention ! Cette action est destructive ! Vous perdrez toutes les contributions et modifications depuis la publication."
"enter_name"	"Please type in the name of the Lodex site"	"Entrer ci-dessous le nom de l'instance Lodex"
"edit"	"Edit"	"Éditer"
"edit_field"	"Edit %{field}"	"Éditer %{field}"
"configure_field"	"Configure %{field}"	"Configurer %{field}"
"edit_ontology_field"	"%{field} settings"	"paramètre pour %{field}"
"save"	"Save"	"Sauvegarder"
"hide"	"Hide"	"Cacher"
"add-field"	"Add a field"	"Ajouter un champ"
"removed_resources"	"Removed resources"	"Ressources retirées"
"restore"	"Restore"	"Restaurer"
"removed_at"	"Date removed: "	"Date enlevée :"
"removed_reason"	"Your reason for removing"	"Votre explication"
"add_field_to_resource"	"add a field to this resource"	"Ajouter un champ à cette ressource"
"about_you"	"Enter your user information:"	"Rédiger votre ""à propos"":"
"contributorName"	"Enter your name"	"Entrez votre nom"
"contributorMail"	"Enter your email"	"Entrez votre e-mail"
"select_contribution_field"	"Select a field"	"Sélectionner un champ"
"new_contribution_field"	"Create a new field"	"Créer un nouveau champ"
"new_field"	"Field"	"Champ"
"contributed_by"	"Contributed by %{name}"	"Contribution de %{name}"
"added_by"	"Added by %{name}"	"Ajouté par %{name}"
"add_to_publication"	"Add to publication"	"Ajouter à une publication"
"add_column"	"Add a new column"	"Ajouter une nouvelle colonne"
"no_dataset"	"No dataset"	"Aucun jeu de données"
"scheme"	"scheme"	"scheme"
"format"	"format"	"format"
"exit_column_edition"	"Back to preview"	"Retour à l'aperçu"
"upload_file"	"Upload a file"	"Importer un fichier"
"annotate_field"	"Annotate another field"	"Annoter un autre champ"
"completes_field_none"	"None"	"Aucun"
"completes_field_X"	"annotates %{field}"	"annote %{field}"
"remove_from_publication"	"Remove"	"Supprimer"
"separator"	"separator"	"séparateur"
"composed_of"	"Composed of"	"Composé de"
"wizard_composed_of"	"Compose this field - the subsequent fields will be displayed under it"	"Composer ce champ - les champs suivants seront affichés en-dessous"
"transformers"	"Operations"	"Opérations"
"add"	"add"	"ajout"
"remove"	"remove"	"enlever"
"select_a_field"	"Select a field"	"Sélectionner un champ"
"select_a_format"	"Apply a format"	"Appliquer un format"
"language"	"Language"	"Langue"
"close"	"close"	"fermer"
"export_data"	"Export"	"Exporter"
"export_fields"	"Export model"	"Exporter le modèle"
"export_fields_ready"	"Export ready model"	"Exporter le modèle prêt"
"import_fields"	"Import model"	"Importer le modèle"
"view_fields"	"View model"	"Voir le modèle"
"confirm_import_fields"	"Importing a saved model will override your current work. Are you sure ?"	"Importer un modèle existant remplacera le modèle actuel. Êtes-vous sûr de vouloir continuer ?"
"import_fields_failed"	"Your model couldn't be imported. Please ensure you selected the correct file."	"Votre modèle n'a pas pu être chargé. Veuillez vous assurer d'avoir sélectionné le bon fichier"
"no"	"No"	"Non"
"contributed_resources"	"Contributed resources"	"Ressources contribuées"
"review"	"review"	"vérifier"
"contribution_filter"	"list resources with %{status} contribution"	"liste des ressources avec une contribution %{status} "
"PROPOSED"	"proposed"	"proposé"
"VALIDATED"	"validated"	"validé"
"REJECTED"	"rejected"	"rejeté"
"field_display_in_list"	"Display on list page"	"Afficher sur la page liste"
"field_display_in_resource"	"Display on resource page"	"Afficher sur la page ressource"
"field_display_in_graph"	"Display in graph page"	"Afficher sur la page graphique"
"field_display_in_home"	"Display in home page"	"Afficher sur la page d'accueil"
"field_searchable"	"Searchable - global full text search will target this field"	"Une recherche texte globale peut être effectuée sur ce champ"
"filter"	"Enter your search term here"	"Vous pouvez saisir votre recherche ici"
"no_result"	"No matching resource found"	"Aucune correspondance trouvée"
"field_is_facet"	"is a facet"	"est une facette"
"add_facet"	"Add a facet"	"Ajouter une facette"
"select_facet_value"	"Select a value for: %{facet}"	"Sélectionner une valeur pour: %{facet}"
"add_column_from_original_dataset"	"Add a column from original dataset"	"Ajouter une colonne depuis le jeu de données original"
"Login"	"Sign in"	"Se connecter"
"show_publication_errors"	"Errors"	"Erreurs"
"model"	"Model"	"Modèle"
"model_filter_all"	"List of all fields"	"Liste de tous les champs"
"model_filter_document"	"List of fields dedicated to each resource"	"Liste des champs dédiés à chaque ressource"
"model_filter_dataset"	"List of fields dedicated to the dataset"	"Liste des champs dédiés au jeu de données"
"resource_details"	"Details"	"Détails"
"share_export"	"Share/Export"	"Partager/Exporter"
"ontology"	"Ontology"	"Ontologie"
"resources"	"Resources"	"Ressources"
"details"	"Details"	"Détails"
"copy_to_clipboard"	"Copy"	"Copier"
"resource_share_link"	"Link to this resource"	"Lien vers la ressource"
"dataset_share_link"	"Link to this dataset"	"Lien vers le jeu de données"
"share"	"Share"	"Partager"
"columns"	"Columns"	"Colonnes"
"resource_share_export"	"Share/Export"	"Partager/Exporter"
"resource_ontology"	"Ontology"	"Ontologie"
"versions"	"versions"	"versions"
"latest"	"latest"	"dernière"
"after_field"	"After %{field}"	"Après %{field}"
"first_position"	"At first position"	"En première position"
"position"	"Position"	"Position"
"field_wizard_step_value"	"How the value is generated"	"Comment la valeur est créée"
"field_wizard_step_tranforms"	"Transformations applied on the value"	"Transformations appliquées à cette valeur"
"field_wizard_step_identity"	"General informations"	"Informations génerales"
"field_wizard_step_display"	"How and where it is displayed"	"Comment et où elle est affichée"
"field_wizard_step_search"	"Search related"	"Recherche"
"field_wizard_step_semantic"	"Semantics"	"Sémantiques"
"previous"	"Previous"	"Précédent"
"next"	"Next"	"Suivant"
"a_value"	"An arbitrary value"	"Une valeur arbitraire"
"enter_a_value"	"Enter the value"	"Entrer une valeur"
"sparql_value"	"A SPARQL value"	"Une valeur SPARQL"
"enter_sparql"	"Enter a SPARQL request"	"Entrer une requête SPARQL"
"sparql_error"	"We are not able to display data"	"Nous ne sommes pas en mesure d'afficher les données"
"sparql_data"	"No data"	"Absence de donnée"
"sparql_endpoint"	"SPARQL endpoint"	"Endpoint SPARQL"
"sparql_request"	"SPARQL request"	"Requête SPARQL"
"sparql_list_separator"	"Add the separator to transform into a list"	"Ajouter le séparateur pour transformer en liste"
"hidden_info"	"Hide the resource field"	"Cacher le champ de la ressource"
"a_column"	"A value from an existing column"	"Une valeur en provenance d'une colonne existante"
"select_a_column"	"Select a column"	"Sélectionner une colonne"
"a_composition"	"A value from multiple columns"	"Une valeur en provenance de colonnes multiples"
"enter_a_separator"	"Enter a separator (optional)"	"Entrer un séparateur (optionnel)"
"remove_composition_column"	"Remove"	"Enlever"
"add_composition_column"	"Add another column"	"Ajouter une autre colonne"
"an_autogenerated_uri"	"Generate URIs automatically"	"Générer les URI automatiquement"
"a_link_to_another_column"	"A link to another column"	"Un lien vers une autre colonne"
"select_a_ref_column"	"Select the column which identifies the reference column"	"Sélectionner la colonne qui identifie la colonne de référence"
"select_an_id_column"	"Select the column which targets the reference column"	"Sélectionner la colonne qui cible la colonne de référence"
"add_characteristic"	"add characteristic"	"Ajouter une caractéristique"
"label"	"label"	"label"
"value"	"value"	"valeur"
"valid"	"valid"	"valider"
"instance_name"	"Enter the site name"	"Entrer le nom de l'instance"
"add-field-to-resource"	"Add field"	"Ajouter un champ"
"semantic-publication-system"	"Semantic publication system"	"Système de publication sémantique"
"modelize-your-data"	"Model and publish your data on the semantic web!"	"Modélisez et publiez vos données vers le web sémantique !"
"easy-creation"	"Easily create your custom website from your CSV, XML, etc."	"Créez facilement votre site web personnalisé à  partir de vos fichiers CSV, XML, etc."
"semantic-web-compatibility"	"Your repositories, thesauri and experiment results will be compatible with the semantic web!"	"Vos référentiels, thésaurus, résultats d'expérimentation seront compatibles avec le Web Sémantique !"
"easy-update"	"You can easily modify and enrich them with a guarantee of traceability."	"Vous pourrez toujours facilement les modifier et les enrichir avec une garantie de traçabilité."
"first-upload"	"Start by loading a data file."	"Commencez en chargeant un fichier de données."
"publish-punchline"	"Publish your data, you can always easily modify and enrich them later with a guarantee of traceability."	"Publiez vos données, vous pourrez toujours facilement les modifier et les enrichir à  posteriori avec une garantie de traçabilité."
"remove_column"	"Remove this column"	"Enlevez cette colonne"
"multi_field_concat"	"A list of values from several existing columns"	"Une liste de valeurs en provenance de plusieurs colonnes existantes"
"duplicated_uri"	"%{nbInvalidUri} documents have duplicated uri and will not be published"	"%{nbInvalidUri} documents have duplicated uri and will not be published"
"warn_publication"	"Warning: URI is not unique for each document"	"Attention: l'URI  n'est pas unique sur tous les documents"
"force_publish"	"Publish anyway?"	"Publier quand même ?"
"embed_widget"	"Embed this resource in your website"	"Intégrer cette ressource sur votre site"
"select_exported_fields_all"	"All fields"	"Tous les champs"
"select_exported_fields"	"Select the fields to display in the widget"	"Sélectionner les champs à afficher dans le widget"
"filter_fields_for_widgets"	"Type here to filter the list of fields"	"Saisissez votre filtre ici"
"widget"	"Default widget"	"Widget par défaut"
"list_format_select_type"	"Select a type of list"	"Sélectionner le type de liste"
"list_format_unordered"	"Unordered list"	"Liste désordonnée"
"list_format_ordered"	"Ordered list"	"Liste ordonnée"
"uri_format_select_type"	"How is the label defined ?"	"Comment l'étiquette est-elle définie ?"
"uri_format_column"	"Label is the column content"	"L'étiquette est le contenu de la colonne"
"uri_format_custom"	"List is a custom text (same for all resources)"	"La liste est un texte personnalisé (le même pour toutes les ressources)"
"uri_format_another_column"	"Label is the content of another column"	"L'étiquette est le contenu d'une autre colonne"
"uri_format_custom_value"	"The custom text"	"Le texte personnalisé"
"uri_format_another_column_value"	"The column"	"La colonne"
"TypeError: Failed to fetch"	"Could not access api"	"Impossible d'accéder à  l'API"
"istex_results"	"ISTEX search results for %{searchTerm}:"	"Résultats de la recherche ISTEX pour %{searchTerm}:"
"istex_total"	"%{total} results"	"%{total} résultats"
"download"	"download"	"télécharger"
"none"	"None"	"Aucun"
"description"	"Description"	"Description"
"navigate_to_published_data"	"Go to my published data"	"Aller aux données publiées"
"moderation"	"Moderation"	"Modération"
"apply"	"Apply"	"Appliquer"
"auto_generate_uri"	"Leave empty to autogenerate URI"	"Laisser vide pour générer automatiquement un URI"
"required"	"Required"	"Requis"
"invalid_uri"	"Uri must either start with /:uid or /:ark or be a valid url"	"Une Uri doit toujours commencer par /:uid ou /:ark ou doit être une URL valide"
"create_resource"	"Add a new resource to the dataset"	"Ajouter une nouvelle ressource"
"uri_conflict"	"A document already exists with the same uri"	"Un document existe déjà  avec la même URI"
"supported_format_list"	"List of supported file formats:"	"Liste des formats de fichier supportés:"
"composed_of_fields"	"Composed of %{fields}"	"Composé de %{fields}"
"field_label_exists"	"Field already exists"	"Le champ existe déjà "
"raw"	"JSON"	"JSON"
"csv"	"CSV"	"CSV"
"tsv"	"TSV"	"TSV"
"min"	"Min"	"Min"
"jsonld"	"JSON-LD"	"JSON-LD"
"jsonldcompacted"	"JSON-LD (Compacted)"	"JSON-LD (Compacté)"
"nquads"	"N-Quads"	"N-Quads"
"nquadsextended"	"N-Quads Extended"	"N-Quads étendus"
"nquadsextendedcompressed"	"N-Quads Extended (Compressed)"	"N-Quads étendus (compressés)"
"turtle"	"Turtle"	"Turtle"
"sitemap"	"sitemap"	"sitemap"
"upload_url"	"Upload from URL"	"Importer depuis une URL"
"invalid_url"	"URL is invalid"	"URL invalide"
"or"	"or"	"ou"
"html"	"Text - HTML content"	"Texte - Balises HTML"
"list"	"Text - Content List"	"Texte - Liste de valeurs"
"uri"	"URL - Internal URI"	"URL - Lien interne"
"email"	"URL - Email"	"URL - Lien courriel"
"image"	"Other - Image"	"Autre - URL d'une image"
"linkImage"	"URL - Image Link"	"Autre - Lien image"
"link"	"URL - Link"	"URL externe"
"redirect"	"URL - Automatic redirect"	"URL - Redirection automatique"
"contextualBarchart"	"Graph - Contextual chart"	"Graphique - Graphique contextuel"
"istex"	"Other - ISTEX Query"	"Autre - Requête ISTEX"
"markdown"	"Text - Syntax markdown"	"Texte - Syntaxe Markdown"
"overview"	"Syndication"	"Syndication"
"overviewNone"	"None"	"Aucun"
"overviewTitle"	"RESOURCE - Title"	"RESOURCE - Titre"
"overviewDescription"	"RESOURCE - Description"	"RESOURCE - Description"
"overviewDatasetTitle"	"DATASET - Title"	"DATASET - Titre"
"overviewDatasetDescription"	"DATASET - Description"	"DATASET - Description"
"ten_percent"	"10 %"	"10 %"
"twenty_percent"	"20 %"	"20 %"
"thirty_percent"	"30 %"	"30 %"
"fifty_percent"	"50 %"	"50 %"
"eighty_percent"	"80 %"	"80 %"
"hundred_percent"	"100 %"	"100 %"
"list_format_select_image_width"	"Percent of width"	"Pourcentage de la largeur"
"title"	"Text - Title"	"Texte - Titre"
"level1"	"Title 1"	"Titre 1"
"level2"	"Title 2"	"Titre 2"
"level3"	"Title 3"	"Titre 3"
"level4"	"Title 4"	"Titre 4"
"list_format_select_level"	"Choose title level"	"Niveau du titre"
"dataset"	"Dataset"	"Jeu de données"
"paragraph"	"Text - Paragraph"	"Texte - Paragraphe"
"identifier"	"Identifier"	"Identifiant"
"count_of_field"	"Number of documents"	"Nb. de doc."
"resource"	"Resource"	"Ressource"
"heatmap"	"Graph - Heatmap"	"Graphique - Carte de chaleur"
"globalPiechart"	"Graph - Pie Chart"	"Graphique - Diagramme circulaire"
"globalRadarchart"	"Graph - Radar Chart"	"Graphique - Diagramme radar"
"globalBarchart"	"Graph - Bar Chart"	"Graphique - Diagramme en barres"
"max_fields"	"Maximum number of fields"	"Nombre max de champs"
"colors_set"	"Colour set"	"Jeu de couleurs"
"order_by"	"Order by"	"Trier par"
"label_asc"	"Label ↗"	"Label ↗"
"label_desc"	"Label ↘"	"Label ↘"
"value_desc"	"Value ↘"	"Valeur ↘"
"value_asc"	"Value ↗"	"Valeur ↗"
"sparqlTextField"	"SPARQL - Text"	"SPARQL - Texte"
"size1"	"Very big"	"Très grand"
"size2"	"Big"	"Grand"
"size3"	"Bold"	"Gras"
"size4"	"Normal"	"Normal"
"list_format_select_size"	"Size"	"Taille"
"identifierBadge"	"Text - Identifier badge"	"Texte - Badge pour identifiant"
"list_format_select_identifier"	"Choose the resolver"	"Choisir le résolveur"
"sentence"	"Text - Sentence"	"Texte - Phrase"
"prefix"	"prefix"	"prefixe"
"suffix"	"suffix"	"suffixe"
"automatic"	"Automatic"	"Automatique"
"parser_name"	"Parser name"	"Nom du parser"
"select_file"	"Select which file you want to load"	"Choix de fichier à  charger"
"select_parser"	"Select which parser you want to apply"	"Choix du parser à  appliquer"
"bad_format"	"Inappropriate format for %{label}, expected simple value but got array, please use list format"	"Format inapproprié pour %{label}, simple valeur attendue mais tableau reçu, essayer le format liste"
"field_width"	"width"	"largeur"
"graph_list"	"graph list"	"liste des graphiques"
"filter_value"	"filter %{field}"	"%{field} filtre"
"exclude"	"exclude"	"exclure"
"count"	"count"	"compter"
"no_chart_data"	"no data to visualize"	"aucune donnée à visualiser"
"chart_error"	"Error while trying to retrieve chart data"	"Une erreur est survenue en essayant de récupérer les données du graphique"
"excluding"	"excluding"	"exclus(e)"
"axis_round_value"	"force rounded-up value in axis"	"arrondir les valeurs sur l'axe"
"scale"	"scale"	"échelle"
"linear"	"linear"	"linéaire"
"log"	"logarithmic"	"logarithmique"
"bar_size"	"bars' width"	"largeur des barres"
"home"	"home"	"accueil"
"color_scheme"	"colour scheme"	"jeu de couleurs"
"hover_color_scheme"	"hover colour scheme"	"jeu de couleurs au survol"
"default_color"	"default colour"	"couleur par défaut"
"cartography"	"Graph - Cartography"	"Graphique - Cartographie"
"emphasedNumber"	"Text - Emphased Number"	"Texte - Chiffre en gras"
"resourcesGrid"	"Other - Resources Grid"	"Autre - Grille de ressources"
"trelloTimeline"	"Other - Trello Timeline"	"Autre - Trello Timeline"
"direction"	"direction"	"direction"
"horizontal"	"horizontal"	"horizontal"
"vertical"	"vertical"	"vertical"
"max_value"	"max value"	"valeur max"
"min_value"	"min value"	"valeur minimum"
"flip_axis"	"flip axes"	"inverser les axes"
"list_of_language"	"Choose the language"	"Choix du langage"
"value_margin"	"margin for value axis (px)"	"marge pour l'axe des valeurs (px)"
"category_margin"	"margin for category axis (px)"	"marge pour l'axe des catégories (px)"
"diagonal_value_axis"	"display value axis in diagonal"	"afficher l'axe des valeurs en diagonale"
"diagonal_category_axis"	"display category axis in diagonal"	"afficher l'axe des catégories en diagonale"
"all"	"All"	"Tous"
"document"	"Document"	"Document"
"node_color"	"Node Color"	"Couleur des nœuds"
"network"	"Graph - Network"	"Graphique - Réseaux"
"bubbleChart"	"Graph - Bubble"	"Graphique - Graphe à bulles"
"diameter"	"Chart Diameter"	"Diamètre des bulles"
"min_radius"	"Min radius"	"Rayon min"
"max_radius"	"Max radius"	"Rayon max"
"view_details"	"View Details"	"Voir les détails"
"resources_found"	"Found %{current} on %{total}"	"%{current} ressources trouvées sur un total de %{total}"
"extendednquads"	"N-Quads Extended"	"N-Quads étendus"
"extendednquadscompressed"	"N-Quads Extended (Compressed)"	"N-Quads étendus (Compressé)"
"csv"	"CSV - auto-detected separator"	"CSV - détection automatique du séparateur"
"csv-semicolon"	"CSV - with semicolon"	"CSV - avec des points virgules"
"csv-comma"	"CSV - with comma"	"CSV - avec des virgules"
"csv-alternative"	"TXT - with comma separator"	"TXT - séparé par des virgules"
"tsv"	"CSV - with tabulation"	"CSV - avec des tabulations"
"tsv-double-quotes"	"CSV - with tabulation annd double quotes"	"CSV - avec des tabulations et des guillemets"
"rdf"	"TXT - N-Quads triples"	"TXT - triplets RDF en N-Quads"
"skos"	"XML - SKOS thesaurus"	"XML - vocabuaire SKOS"
"json"	"JSON - with an array"	"JSON - avec un tableau"
"json-lodex"	"JSON - from Lodex API"	"JSON - compatible API Lodex"
"json-istex"	"JSON - from ISTEX API"	"JSON - compatible API ISTEX"
"rss"	"XML - RSS feed"	"XML - flux RSS"
"atom"	"XML - ATOM feed"	"XML - flux ATOM"
"mods"	"XML - MODS metadata"	"XML - métadonnées MODS"
"tei"	"XML - TEI document"	"XML - document TEI"
"corpus"	"TXT - corpus description"	"TXT - description de corpus"
"automatic-parser"	"AUTO - with filename extension"	"AUTO - avec l'extension du nom de fichier"
