"Identifier"	"English Label"	"French label"
"error_composedOf.separator_invalid"	"A ComposedOf separator must be a string"	"Un séparateur de champ composé doit être une chaîne de caractères"
"error_composedOf.fields_required"	"ComposedOf must have at least two fields"	"Un champ composé doit avoir au moins deux champs"
"error_composedOf.fields_invalid"	"ComposedOf fields must exist"	"Les champs du champ composé doivent exister"
"error_completes_inexisting_target_field"	"A completed field must exist"	"Un champ annoté doit exister"
"error_label_invalid_label"	"A label must be at least 2 characters long"	"Une étiquette doit comporter au moins deux caractères"
"error_scope_invalid_contribution_scope"	"A contribution must have a cover document"	"Une contribution doit comporter un document de couverture"
"error_scope_invalid_scope"	"A coverage must be either a dataset or a collection"	"Une couverture doit être soit un jeu de données, soit une collection"
"error_language_invalid"	"Language is invalid"	"Langue invalide"
"error_transformer.operation_invalid"	"Operation %{operation} does not exist"	"L'opération %{operation} n'existe pas"
"error_transformer.args_invalid"	"Operation %{operation} is invalid : it requires %{args} args"	"L'opération %{operation} est invalide : arguments %{args} requis"
"error_listView"	"Error: empty list"	"Erreur : liste vide"
"remove_resource"	"Remove the resource"	"Retirer la ressource"
"enter_reason"	"Enter your reason for removing"	"Donner en quelques mots une explication"
"reason"	"Reason"	"La raison"
"removed_resource_at"	"This resource was removed %{date}"	"Cette ressource a été retirée - %{date}"
"cancel"	"Cancel"	"Annuler"
"listen_up"	"Warning! This is a potentially destructive action: you're going to lose all contributions and modifications."	"Attention ! Cette action est destructive ! Vous perdrez toutes les contributions et modifications."
"listen_up_model"	"Warning! This is a potentially destructive action: you're going to lose all created fields"	"Attention ! Cette action est destructive ! Vous perdrez tous les champs créés."
"enter_name"	"Please type in the name of the Lodex site"	"Entrer ci-dessous le nom de l'instance Lodex"
"edit"	"Edit"	"Éditer"
"edit_field"	"Edit %{field}"	"Éditer %{field}"
"configure_field"	"Configure %{field}"	"Configurer %{field}"
"edit_ontology_field"	"%{field} settings"	"paramètre pour %{field}"
"save"	"Save"	"Sauvegarder"
"hide"	"Hide"	"Cacher"
"add-field"	"Add a field"	"Ajouter un champ"
"restore"	"Restore"	"Restaurer"
"removed_at"	"Date removed: "	"Date enlevée :"
"removed_reason"	"Your reason for removing"	"Votre explication"
"about_you"	"Enter your user information:"	"Rédiger votre ""à propos"":"
"contributorName"	"Enter your name"	"Entrez votre nom"
"contributorMail"	"Enter your email"	"Entrez votre e-mail"
"select_contribution_field"	"Select a field"	"Sélectionner un champ"
"new_contribution_field"	"Create a new field"	"Créer un nouveau champ"
"contributed_by"	"Contributed by %{name}"	"Contribution de %{name}"
"added_by"	"Added by %{name}"	"Ajouté par %{name}"
"add_to_publication"	"Add"	"Ajouter"
"add_column"	"Add a new column"	"Ajouter une nouvelle colonne"
"new_field"	"New field"	"Nouveau champ"
"no_dataset"	"No data published"	"Aucune donnée publiée"
"no_option"	"No options"	"Aucune sélection"
"scheme"	"scheme"	"schéma"
"format"	"format"	"format"
"item_column_content"	"The column content"	"Le contenu de la colonne"
"item_other_column_content"	"Another column content"	"Un autre contenu de colonne"
"item_custom_url"	"A custom URL (same for all resources)"	"Une URL custom (identique pour toutes les ressources)"
"item_custom_text"	"A custom text (same for all resources)"	"Un texte custom (identique pour toutes les ressources)"
"value"	"value"	"valeur"
"exit_column_edition"	"Back to preview"	"Retour à l'aperçu"
"upload_data"	"Upload data"	"Importer les données"
"inspect_file"	"Inspecting file"	"Inspection du fichier"
"annotate_field"	"Annotate another field"	"Annoter un autre champ"
"completes_field_none"	"None"	"Aucun"
"completes_field_X"	"annotates %{field}"	"annote %{field}"
"remove_from_publication"	"Remove"	"Supprimer"
"remove_field"	"Remove field"	"Supprimer le champ"
"separator"	"separator"	"séparateur"
"composed_of"	"Composed of"	"Composé de"
"composed_of_edit_not_possible"	"To edit the root field, you should change the value of its composed fields"	"Pour éditer le champ principal, vous devez changer la valeur de ses champs composés."
"wizard_composed_of"	"Display as composed field"	"Afficher en tant que champ composé"
"transformers"	"Transformation operations"	"Opérations de transformation"
"fieldidentifier_copied_clipboard"	"Field identifier was copied to clipboard"	"L'identifiant de champ a été copié dans le presse papier"
"add"	"add"	"ajout"
"fields_composed_of"	"Fields composing the display"	"Champs composant l'affichage"
"remove"	"remove"	"supprimer"
"select_a_field"	"Select a field"	"Sélectionner un champ"
"select_a_format"	"Apply a format"	"Appliquer un format"
"display_with_format"	"Display with format"	"Afficher avec un format"
"no_format"	"No format applied"	"Aucun format appliqué"
"format_settings"	"Format settings"	"Paramètres du format"
"language"	"Language"	"Langue"
"close"	"close"	"fermer"
"export_fields"	"Export model"	"Exporter le modèle"
"import_fields"	"Import a model"	"Importer un modèle"
"view_fields"	"View model"	"Voir le modèle"
"confirm_import_fields"	"Importing a saved model will override your current work. Are you sure ?"	"Importer un modèle existant remplacera le modèle actuel. Êtes-vous sûr de vouloir continuer ?"
"import_fields_failed"	"Your model couldn't be imported. Please ensure you selected the correct file."	"Votre modèle n'a pas pu être chargé. Veuillez vous assurer d'avoir sélectionné le bon fichier"
"no"	"No"	"Non"
"contributed_resources"	"Contributed resources"	"Ressources contribuées"
"review"	"review"	"vérifier"
"contribution_filter"	"list resources with %{status} contribution"	"liste des ressources avec une contribution %{status} "
"PROPOSED"	"proposed"	"proposée"
"VALIDATED"	"validated"	"validée"
"REJECTED"	"rejected"	"rejetée"
"field_display"	"Visible"	"Visible"
"field_searchable"	"Searchable - global full text search will target this field"	"Une recherche texte globale peut être effectuée sur ce champ"
"search"	"Enter your search term here"	"Vous pouvez saisir votre recherche ici"
"field_is_facet"	"is a facet"	"est une facette"
"add_facet"	"Add a facet"	"Ajouter une facette"
"select_facet_value"	"Select a value for: %{facet}"	"Sélectionner une valeur pour: %{facet}"
"from_original_dataset"	"From a column"	"Depuis une colonne"
"Login"	"Sign in"	"Se connecter"
"show_publication_errors"	"Errors"	"Erreurs"
"model"	"Model"	"Modèle"
"model_filter_all"	"List of all fields"	"Liste de tous les champs"
"model_filter_document"	"List of fields dedicated to each resource"	"Liste des champs dédiés à chaque ressource"
"model_filter_dataset"	"List of fields dedicated to the dataset"	"Liste des champs dédiés au jeu de données"
"resource_details"	"Details"	"Détails"
"export"	"Export"	"Exporter"
"export_results"	"Export the results in:"	"Exporter les résultats en :"
"export_resource"	"Export this resource in:"	"Exporter cette ressource en :"
"ontology"	"Ontology"	"Ontologie"
"resources"	"Resources"	"Ressources"
"details"	"Details"	"Détails"
"resource_share_link"	"Link to this resource"	"Lien vers la ressource"
"columns"	"Columns"	"Colonnes"
"column"	"Column"	"Colonne"
"for_row"	"for row"	"pour la ligne"
"enrichment"	"Enrichment"	"Enrichissement"
"precomputed"	"Precomputed"	"Précalculs"
"resource_share_export"	"Share/Export"	"Partager/Exporter"
"resource_ontology"	"Ontology"	"Ontologie"
"versions"	"versions"	"versions"
"latest"	"latest"	"dernière"
"after_field"	"After %{field}"	"Après %{field}"
"first_position"	"At first position"	"En première position"
"position"	"Position"	"Position"
"field_wizard_tab_identity"	"General"	"Général"
"field_wizard_tab_display"	"Display"	"Affichage"
"field_wizard_tab_search"	"Annotations"	"Annotations"
"field_wizard_tab_semantic"	"Semantics"	"Sémantique"
"field_wizard_warning_facet_message"	"The value to which the facet is applied is of type Object. Make sure to apply the necessary transformers"	"La valeur sur laquelle est appliquée la facette est de type Objet. Assurez-vous d'appliquer les transformations nécessaires"
"previous"	"Previous"	"Précédent"
"export_raw_dataset"	"Export raw dataset"	"Exporter le jeu de données"
"next"	"Next"	"Suivant"
"a_value"	"An arbitrary value"	"Une valeur arbitraire"
"enter_a_value"	"Enter the value"	"Entrer une valeur"
"sparql_value"	"A SPARQL value"	"Une valeur SPARQL"
"enter_sparql"	"Enter a SPARQL request"	"Entrer une requête SPARQL"
"sparql_error"	"We are not able to display data"	"Nous ne sommes pas en mesure d'afficher les données"
"sparql_data"	"No data"	"Absence de donnée"
"sparql_endpoint"	"SPARQL endpoint"	"Endpoint SPARQL"
"sparql_request"	"SPARQL request"	"Requête SPARQL"
"sparql_list_separator"	"Add the separator to transform into a list"	"Ajouter le séparateur pour transformer en liste"
"sparql_validator"	"SPARQL validator"	"Validateur SPARQL"
"vega_validator"	"Vega validator"	"Validateur Vega"
"sparql_http_retry"	"Try again by clicking"	"Ré-essayez en cliquant"
"sparql_add_subformat"	"Add a subformat"	"Ajouter un sous-format"
"sparql_attribute"	"Attribute"	"Attribut"
"sparql_subformat"	"Subformat"	"Sous-format"
"param_labels"	"List of IDs (separator ;)"	"Liste des identifiants (séparateur ;)"
"formatLodexField"	"Lodex - Field"	"Lodex - Champ"
"formatLodexFieldDescription"	"Format that allows to link a resource title to its page thanks to its identifier."	"Format qui permet d’afficher dans une page ressource une ou plusieurs informations déjà renseignée(s) dans une autre instance Lodex."
"hidden_info"	"Hide the resource field"	"Cacher le champ de la ressource"
"a_column"	"A value from an existing column"	"Une valeur en provenance d'une colonne existante"
"a_subresource_uri"	"A value from subresource uri"	"Une valeur en provenance d'une uri de sous-ressource"
"a_subresource_field"	"A value from subresource field"	"Une valeur en provenance d'un champ de sous-ressource"
"select_a_column"	"Select a column"	"Sélectionner une colonne"
"a_composition"	"A value from multiple columns"	"Une valeur en provenance de colonnes multiples"
"enter_a_separator"	"Enter a separator (optional)"	"Entrer un séparateur (optionnel)"
"remove_composition_column"	"Remove"	"Enlever"
"add_composition_column"	"Add another column"	"Ajouter une autre colonne"
"an_autogenerated_uri"	"Generate URIs automatically"	"Générer les URI automatiquement"
"select_a_ref_column"	"Select the column which identifies the reference column"	"Sélectionner la colonne qui identifie la colonne de référence"
"select_an_id_column"	"Select the column which targets the reference column"	"Sélectionner la colonne qui cible la colonne de référence"
"add_characteristic"	"add characteristic"	"Ajouter une caractéristique"
"label"	"Label"	"Label"
"value"	"Value"	"Valeur"
"valid"	"valid"	"valider"
"confirm"	"confirm"	"confirmer"
"instance_name"	"Enter the site name"	"Entrer le nom de l'instance"
"add-field-to-resource"	"Add field"	"Ajouter un champ"
"semantic-publication-system"	"Semantic publication system"	"Système de publication sémantique"
"modelize-your-data"	"Model and publish your data on the semantic web!"	"Modélisez et publiez vos données vers le web sémantique !"
"easy-creation"	"Easily create your custom website from your CSV, XML, etc."	"Créez facilement votre site web personnalisé à partir de vos fichiers CSV, XML, etc."
"semantic-web-compatibility"	"Your repositories, thesauri and experiment results will be compatible with the semantic web!"	"Vos référentiels, thésaurus, résultats d'expérimentation seront compatibles avec le Web Sémantique !"
"easy-update"	"You can easily modify and enrich them with a guarantee of traceability."	"Vous pourrez toujours facilement les modifier et les enrichir avec une garantie de traçabilité."
"first-upload"	"Start by loading a data file."	"Commencez en chargeant un fichier de données."
"publish-punchline"	"Publish your data, you can always easily modify and enrich them later with a guarantee of traceability."	"Publiez vos données, vous pourrez toujours facilement les modifier et les enrichir à posteriori avec une garantie de traçabilité."
"remove_column"	"Remove this column"	"Enlevez cette colonne"
"multi_field_concat"	"A list of values from several existing columns"	"Une liste de valeurs en provenance de plusieurs colonnes existantes"
"duplicated_uri"	"%{nbInvalidUri} documents have duplicated uri and will not be published"	"%{nbInvalidUri} documents dupliqués ont la même uri et ne seront pas publiés"
"duplicated_subresource"	"%{nbInvalidSubresources} subresource(s) are duplicated will not be published"	"%{nbInvalidSubresources} sous-ressource(s) sont dupliquée(s) et ne seront pas publiée(s)"
"warn_publication"	"Warning: URI is not unique for each document"	"Attention: l'URI  n'est pas unique sur tous les documents"
"force_publish"	"Publish anyway?"	"Publier quand même ?"
"list_format_select_type"	"Select a type of list"	"Sélectionner le type de liste"
"list_format_unordered"	"Unordered list"	"Liste désordonnée"
"list_format_ordered"	"Ordered list"	"Liste ordonnée"
"list_format_unordered_without_bullet"	"Unordered list (without bullet)"	"Liste désordonnée (sans puce)"
"list_format_unordered_flat"	"Flat list (separated by semicolon)"	"Liste à plat (séparée par des points-virgules)"
"uri_format_select_type"	"How is the label defined ?"	"Comment l'étiquette est-elle définie ?"
"uri_format_column"	"Label is the column content"	"L'étiquette est le contenu de la colonne"
"uri_format_custom"	"List is a custom text (same for all resources)"	"La liste est un texte personnalisé (le même pour toutes les ressources)"
"uri_format_another_column"	"Label is the content of another column"	"L'étiquette est le contenu d'une autre colonne"
"uri_format_custom_value"	"The custom text"	"Le texte personnalisé"
"uri_format_another_column_value"	"The column"	"La colonne"
"fieldclone_format_value"	"Name of the field to clone"	"Nom du champ à copier"
"TypeError: Failed to fetch"	"Could not access api"	"Impossible d'accéder à l'API"
"istex_results"	"ISTEX search results for %{searchTerm}:"	"Résultats de la recherche ISTEX pour %{searchTerm}:"
"istex_total"	"%{total} results"	"%{total} résultats"
"download"	"download"	"télécharger"
"none"	"None"	"Aucun"
"description"	"Description"	"Description"
"navigate_to_published_data"	"Go to my published data"	"Aller aux données publiées"
"auto_generate_uri"	"Leave empty to autogenerate URI"	"Laisser vide pour générer automatiquement un URI"
"required"	"Required"	"Requis"
"invalid_uri"	"Uri must either start with uid: or ark: or be a valid url"	"Une Uri doit toujours commencer par uid: ou ark: ou doit être une URL valide"
"uri_conflict"	"A document already exists with the same uri"	"Un document existe déjà avec la même URI"
"supported_format_list"	"List of supported file formats:"	"Liste des formats de fichier supportés:"
"composed_of_fields"	"Composed of %{fields}"	"Composé de %{fields}"
"field_label_exists"	"Field already exists"	"Le champ existe déjà"
"raw"	"JSON"	"JSON"
"csv"	"CSV"	"CSV"
"tsv"	"TSV"	"TSV"
"min"	"Min"	"Min"
"jsonld"	"JSON-LD"	"JSON-LD"
"jsonldcompacted"	"JSON-LD (Compacted)"	"JSON-LD (Compacté)"
"jsonallvalue"	"JSON"	"JSON"
"nquads"	"N-Quads"	"N-Quads"
"nquadsextended"	"N-Quads Extended"	"N-Quads étendus"
"nquadsextendedcompressed"	"N-Quads Extended (Compressed)"	"N-Quads étendus (compressés)"
"turtle"	"Turtle"	"Turtle"
"sitemap"	"sitemap"	"sitemap"
"upload_url"	"Upload from URL"	"Importer depuis une URL"
"invalid_url"	"URL is invalid"	"URL invalide"
"or"	"or"	"ou"
"formatHtml"	"Text - HTML content"	"Texte - Balises HTML"
"formatHtmlDescription"	"The HTML format allows you to display a block of HTML in the application."	"Le format HTML permet d’afficher dans l’application un bloc de HTML."
"formatList"	"Text - Content List"	"Texte - Liste de valeurs"
"formatListDescription"	"The List format is a format for presenting data in table or list form (bulleted, ordered, disordered, flat list)."	"Le format List est un format de présentation des données en tableau ou sous forme de liste (à puces, ordonnée, désordonnée, liste à plat)."
"formatUri"	"URL - Internal URI"	"URL - Lien interne"
"formatUriDescription"	"This format allows you to put links to navigate between data of the same instance. You will have to specify the field title."	"Ce format permet de mettre des liens pour naviguer si besoin entre des données d’une même instance. Il faudra préciser l’intitulé du champ."
"formatEmail"	"URL - Email"	"URL - Lien courriel"
"formatEmailDescription"	"This format allows you to join by email by clicking on the address."	"Ce format permet de joindre par courriel en cliquant sur l’adresse."
"formatImage"	"URL - Image"	"URL - URL d'une image"
"formatImageDescription"	"This format displays the image whose URL is the arbitrary value in how the value is created. It also allows you to zoom in on the image to fill the page, and return to the original size. Its only setting is the width of the image (as a percentage of the application width)."	"Ce format affiche l’image dont l’URL est la valeur arbitraire dans comment la valeur est créée. Il permet aussi de zoomer sur l’image pour remplir la page, et revenir à la taille d’origine. Son seul paramétrage est la largeur de l’image (en pourcentage de la largeur de l’application)."
"formatPdf"	"URL - PDF"	"URL -  PDF"
"formatPdfDescription"	"This format displays the view of the pdf whose URL is the arbitrary value in how the value is created. It also allows to keep all the tools available on the pdf: navigation, downloading, printing. Its only setting is the width of the image (as a percentage of the application width)."	"Ce format affiche la vue du pdf dont l’URL est la valeur arbitraire dans comment la valeur est créée. Il permet aussi de garder tous les outils disponibles sur le Pdf :  navigation, téléchargement, impression. Son seul paramétrage est la largeur de l’image (en pourcentage de la largeur de l’application)."
"formatLinkImage"	"URL - Image Link"	"URL - Lien image"
"formatLinkImageDescription"	"Format that allows you to display an image in your instance by adding its link stored in another location. Choose its size in pixels."	"Format qui permet d’afficher une image dans votre instance en ajoutant son lien stocké à un autre endroit. Choisir sa taille en pixel."
"formatLink"	"URL - Link"	"URL externe"
"formatLinkDescription"	"This format to use for external link"	"Ce format a utiliser lorsqu’on veut un lien vers un site extérieur."
"formatFieldClone"	"Graph - Clone of an existing field"	"Graphique - Copie d'un champ existant"
"formatFieldCloneDescription"	"This format allows you to display a graph on the home page that is already present in the graph page. As the graph has already been set up in the graph page, all you have to do is make a copy, on the home page, of the field that was used to create the graph and specify its name. Do not forget to save the modifications."	"Ce format permet d’afficher un graphe en page d’accueil qui est déjà présent dans la page de graphes. Le graphe étant préalablement paramétré dans la page de graphe,  il suffit alors de faire une copie, en page d’accueil, du champ qui a servi à faire le graphe et de préciser son nom. Ne pas oublier de sauvegarder les modifications."
"formatRedirect"	"URL - Automatic redirect"	"URL - Redirection automatique"
"formatRedirectDescription"	"This format allows you to automatically redirect a resource from one Lodex instance to another Lodex instance, unlike the breadcrumb trail which allows you to link several instances together."	"Ce format permet de rediriger automatiquement une ressource d’une instance Lodex vers une autre instance Lodex, contrairement au fil d’Ariane qui permet de lier plusieurs instances entre elles."
"formatContextualBarchart"	"Graph - Contextual chart"	"Graphique - Graphique contextuel"
"formatContextualBarchartDescription"	"Graph - Contextual chart"	"Graphique - Graphique contextuel"
"formatIstex"	"Other - ISTEX Query"	"Autre - Requête ISTEX"
"formatIstexDescription"	"Format that displays the paginated list of documents corresponding to a query in the Istex api. The documents are clickable and display the Pdf when the user has the right to do so."	"Format qui affiche la liste paginée des documents correspondant à une requête dans l’api Istex. Les documents sont cliquables et affichent le Pdf dès lors que l’utilisateur en a le droit."
"formatIstexSummary"	"Other - ISTEX Summary"	"Autre - Sommaire ISTEX"
"formatIstexSummaryDescription"	"Format that allows to display the resources present in Istex, by journal title and in a tree structure (all the articles of the same Issue) Used for the summary journal instance."	"Format qui permet d’afficher les ressources présentes dans Istex, par titre de revue et sous une forme d’arborescence (tous les articles d’une même Numéro) Utilisé pour l’instance revue de sommaire."
"formatMarkdown"	"Text - Syntax markdown"	"Texte - Syntaxe Markdown"
"formatMarkdownDescription"	"This text format allows you to fill in the data of a field in Markdown, which is a syntax that allows you to write in a simplified way a text that will be transformed in HTML. (see syntax) With this format it is possible to insert in the same LODEX field paragraphs, sections, bold, italic, links, ..."	"Ce format texte permet de renseigner les données d’un champ en Markdown, qui est une syntaxe permettant d’écrire d’une manière simplifiée un texte qui sera transformé en HTML. (voir syntaxe) Avec ce format il est possible d’insérer dans un même champ LODEX des paragraphes, des sections, du gras, de l’italique, des liens, …"
"overview"	"Syndication"	"Syndication"
"overviewNone"	"None"	"Aucun"
"overviewTitle"	"RESOURCE - Title"	"RESSOURCE - Titre"
"overviewSubresourceTitle"	"SUBRESOURCE - Title"	"SOUS-RESSOURCE - Titre"
"overviewDescription"	"RESOURCE - Description"	"RESSOURCE - Description"
"overviewDetail1"	"RESOURCE - Detail 1"	"RESSOURCE - Detail 1"
"overviewDetail2"	"RESOURCE - Detail 2"	"RESSOURCE - Detail 2"
"overviewDatasetTitle"	"DATASET - Title"	"DATASET - Titre"
"overviewDatasetDescription"	"DATASET - Description"	"DATASET - Description"
"ten_percent"	"10 %"	"10 %"
"twenty_percent"	"20 %"	"20 %"
"thirty_percent"	"30 %"	"30 %"
"fifty_percent"	"50 %"	"50 %"
"eighty_percent"	"80 %"	"80 %"
"hundred_percent"	"100 %"	"100 %"
"list_format_select_image_width"	"Percent of width"	"Pourcentage de la largeur"
"formatTitle"	"Text - Title"	"Texte - Titre"
"formatTitleDescription"	"This format allows you to style the text, with the choice of Heading 1, Heading 2, Heading 3 and Heading 4 and to choose a font color."	"Ce format permet de styler le texte, aux choix Tire 1, Titre 2, Titre 3 et Titre 4 et de choisir une couleur de police."
"level1"	"Title 1"	"Titre 1"
"level2"	"Title 2"	"Titre 2"
"level3"	"Title 3"	"Titre 3"
"level4"	"Title 4"	"Titre 4"
"list_format_select_level"	"Choose title level"	"Niveau du titre"
"dataset"	"Dataset"	"Jeu de données"
"formatParagraph"	"Text - Paragraph"	"Texte - Paragraphe"
"formatParagraphDescription"	"The paragraph format displays text on several lines. Its particularity is that it can be edited in paragraph format, unlike the default format, which puts all the text on one line."	"Le format paragraphe affiche un texte sur plusieurs lignes. Sa particularité est qu’il soit éditable en paragraphe contrairement au format par défaut, qui met tout le texte sur une seule ligne."
"formatLatex"	"Text - LaTeX"	"Texte - LaTeX"
"formatLatexDescription"	"If you want to retrieve data in Latex in a field of an article, select the separator."	"Si veut récupérer des données en Latex dans un champ d’un article, sélectionner le séparateur."
"identifier"	"Identifier"	"Identifiant"
"count_of_field"	"Number of documents"	"Nb. de doc."
"formatResource"	"Lodex - Resource"	"Lodex - Ressource"
"formatResourceDescription"	"Format that allows to link a resource title to its page thanks to its identifier."	"Format qui permet de lier un titre de ressource à sa page grâce à son identifiant."
"formatVegaLite"	"Graph - Syntax Vega-Lite"	"Graphique - Syntaxe Vega-Lite"
"formatVegaLiteDescription"	"This format allows you to create new graphics as needed."	"Ce format permet de créer de nouveau graphique selon les besoins."
"formatHeatmap"	"Graph - Heatmap"	"Graphique - Carte de chaleur"
"formatHeatmapDescription"	"A heat map is an analytical representation form used to visualize data."	"Une heat map, carte thermique ou carte de chaleur, est un formulaire de représentation analytique utilisé pour visualiser des données."
"formatGlobalPiechart"	"Graph - Pie Chart"	"Graphique - Diagramme circulaire"
"formatGlobalPiechartDescription"	"A pie chart is a disk divided into circular sectors (parts of a circle) whose angle is proportional to the number of people"	"Un diagramme circulaire est un disque partagé en secteurs circulaires (parties de cercle) dont l’angle est proportionnel à l’effectif."
"formatGlobalRadarchart"	"Graph - Radar Chart"	"Graphique - Diagramme radar"
"formatGlobalRadarchartDescription"	"The radar chart (also called a spider web chart) displays multiple axes with the same origin and a common scale. Each axis represents an analysis category element. Points are placed directly on an axis according to the associated values."	"Le diagramme en radar (également appelé diagramme en toile d'araignée) affiche plusieurs axes ayant la même origine et une échelle commune. Chaque axe représente un élément de catégorie d'analyse. Les points sont placés directement sur un axe en fonction des valeurs associées."
"formatGlobalBarchart"	"Graph - Bar Chart"	"Graphique - Diagramme en barres"
"formatGlobalBarchartDescription"	"A bar graph, also called a bar chart, is a graph that presents categorical variables with rectangular bars with heights or lengths proportional to the values they represent. The bars can be plotted vertically or horizontally."	"Un diagramme à barres (ou en barres), également appelé diagramme à bâtons (ou en bâtons), est un graphique qui présente des variables catégorielles avec des barres rectangulaires avec des hauteurs ou des longueurs proportionnelles aux valeurs qu'elles représentent. Les barres peuvent être tracées verticalement ou horizontalement."
"max_fields"	"Maximum number of fields"	"Nombre max de champs"
"colors_set"	"Color set"	"Jeu de couleurs"
"colors_string"	"String of color code"	"Chaîne de code couleur"
"Color"	"Color"	"Couleur"
